,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platform_grouped,Publisher_grouped
4485,4487.0,NFL Blitz 20-03,PS2,2002-01-01,Sports,Midway Games,0.21,0.17,0.0,0.06,0.44,playstation,other
4486,4488.0,Just Dance: Summer Party,Wii,2011-01-01,Misc,Ubisoft,0.41,0.0,0.0,0.03,0.44,nintendo_console,Ubisoft
4487,4489.0,SpongeBob's Atlantis SquarePantis,PS2,2007-01-01,Action,THQ,0.36,0.01,0.0,0.06,0.44,playstation,THQ
4488,4490.0,Dragon Ball Z: Shin Budokai - Another Road,PSP,2007-01-01,Fighting,Atari,0.19,0.09,0.08,0.07,0.44,playstation,other
4489,4491.0,Master of Illusion,DS,2006-01-01,Puzzle,Nintendo,0.16,0.0,0.26,0.01,0.44,nintendo_handheld,Nintendo
4490,4492.0,Star Wars: Jedi Starfighter,XB,2002-01-01,Simulation,Activision,0.35,0.07,0.0,0.02,0.44,xbox,Activision
4491,4493.0,Remington Great American Bird Hunt,Wii,2009-01-01,Sports,Mastiff,0.41,0.0,0.0,0.03,0.44,nintendo_console,other
4492,4494.0,Classic NES Series: Metroid,GBA,2004-01-01,Adventure,Nintendo,0.26,0.1,0.07,0.01,0.43,nintendo_handheld,Nintendo
4493,4495.0,Alpha Protocol,PS3,2010-01-01,Role-Playing,Sega,0.19,0.18,0.0,0.07,0.43,playstation,Sega
4494,4496.0,Tetris Axis,3DS,2011-01-01,Puzzle,Tetris Online,0.2,0.13,0.06,0.03,0.43,nintendo_handheld,other
4495,4497.0,Dora the Explorer: Dora Puppy,DS,2009-01-01,Misc,Take-Two Interactive,0.39,0.01,0.0,0.03,0.43,nintendo_handheld,other
4496,4498.0,Primal,PS2,2003-01-01,Action,Sony Computer Entertainment,0.21,0.17,0.0,0.06,0.43,playstation,Sony Computer Entertainment
4497,4499.0,Madden NFL 2002,N64,2001-01-01,Sports,Electronic Arts,0.41,0.02,0.0,0.0,0.43,nintendo_console,Electronic Arts
4498,4500.0,Need for Speed Underground 2,GBA,2004-01-01,Racing,Electronic Arts,0.31,0.12,0.0,0.01,0.43,nintendo_handheld,Electronic Arts
4499,4501.0,007: Quantum of Solace,PS2,2008-01-01,Action,Activision,0.17,0.0,0.0,0.26,0.43,playstation,Activision
4500,4502.0,Spec Ops: Covert Assault,PS,2001-01-01,Shooter,Take-Two Interactive,0.24,0.16,0.0,0.03,0.43,playstation,other
4501,4503.0,SSX Tricky,XB,2001-01-01,Sports,Electronic Arts,0.32,0.09,0.0,0.02,0.43,xbox,Electronic Arts
4502,4504.0,Flight Control Rocket,GBA,2005-01-01,Simulation,THQ,0.31,0.12,0.0,0.01,0.43,nintendo_handheld,THQ
4503,4505.0,FIFA 14,PC,2013-01-01,Sports,Electronic Arts,0.01,0.36,0.0,0.06,0.43,,Electronic Arts
4504,4506.0,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005-01-01,Action,Disney Interactive Studios,0.36,0.01,0.0,0.06,0.43,playstation,other
4505,4507.0,Trials Fusion,PS4,2014-01-01,Racing,Ubisoft,0.13,0.21,0.01,0.08,0.43,playstation,Ubisoft
4506,4508.0,Wheel of Fortune,DS,2010-01-01,Misc,THQ,0.41,0.0,0.0,0.03,0.43,nintendo_handheld,THQ
4507,4509.0,NiGHTS into dreams...,SAT,1996-01-01,Platform,Sega,0.0,0.0,0.43,0.0,0.43,sega,Sega
4508,4510.0,NCAA Football 2004,XB,2003-01-01,Sports,Electronic Arts,0.4,0.02,0.0,0.02,0.43,xbox,Electronic Arts
4509,4511.0,Overwatch,PC,2016-01-01,Shooter,Activision,0.22,0.18,0.0,0.04,0.43,,Activision
4510,4512.0,Rock Band 4,XOne,2015-01-01,Misc,Harmonix Music Systems,0.35,0.04,0.0,0.04,0.43,xbox,other
4511,4513.0,NBA Jam,Wii,2010-01-01,Sports,Electronic Arts,0.38,0.03,0.0,0.03,0.43,nintendo_console,Electronic Arts
4512,4514.0,Bionicle,PS2,2003-01-01,Action,Electronic Arts,0.21,0.17,0.0,0.06,0.43,playstation,Electronic Arts
4513,4515.0,Minecraft,WiiU,2016-01-01,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43,nintendo_handheld,other
4514,4516.0,MLB 2002,PS,2001-01-01,Sports,Sony Computer Entertainment,0.24,0.16,0.0,0.03,0.43,playstation,Sony Computer Entertainment
4515,4517.0,Sleeping Dogs,PS4,2014-01-01,Action,Square Enix,0.16,0.2,0.0,0.07,0.43,playstation,other
4516,4518.0,TimeSplitters,PS2,2000-01-01,Shooter,Eidos Interactive,0.21,0.17,0.0,0.06,0.43,playstation,other
4517,4519.0,Barnstorming,2600,1981-01-01,Action,Activision,0.4,0.02,0.0,0.0,0.43,atari,Activision
4518,4520.0,InuYasha: The Secret of the Cursed Mask,PS2,2004-01-01,Role-Playing,Namco Bandai Games,0.21,0.17,0.0,0.06,0.43,playstation,Namco Bandai Games
4519,4521.0,Rune Factory 3: A Fantasy Harvest Moon,DS,2009-01-01,Role-Playing,Rising Star Games,0.28,0.03,0.1,0.02,0.43,nintendo_handheld,other
4520,4522.0,The Powerpuff Girls: Him and Seek,GBA,2002-01-01,Platform,BAM! Entertainment,0.31,0.11,0.0,0.01,0.43,nintendo_handheld,other
4521,4523.0,Mega Man Zero 2,GBA,2003-01-01,Platform,Capcom,0.18,0.07,0.17,0.01,0.43,nintendo_handheld,other
4522,4524.0,Wonder Project J: Kikai no Shonen Pino,SNES,1994-01-01,Simulation,Enix Corporation,0.0,0.0,0.43,0.0,0.43,nintendo_console,other
4523,4525.0,2010 FIFA World Cup South Africa,Wii,2010-01-01,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.43,nintendo_console,Electronic Arts
4524,4526.0,Atelier Totori: The Adventurer of Arland,PS3,2010-01-01,Role-Playing,Nippon Ichi Software,0.12,0.07,0.21,0.03,0.43,playstation,other
4525,4527.0,Spec Ops: The Line,X360,2012-01-01,Shooter,Take-Two Interactive,0.21,0.19,0.0,0.04,0.43,xbox,other
4526,4528.0,The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004-01-01,Misc,,0.31,0.11,0.0,0.01,0.43,nintendo_handheld,other
4527,4529.0,Ghostbusters: The Video Game,PS2,2009-01-01,Action,Atari,0.15,0.04,0.0,0.24,0.43,playstation,other
4528,4530.0,Hunter: The Reckoning  Wayward,PS2,2003-01-01,Action,Interplay,0.21,0.16,0.0,0.06,0.43,playstation,other
4529,4531.0,How to Train Your Dragon,Wii,2010-01-01,Action,Activision,0.24,0.15,0.0,0.04,0.43,nintendo_console,Activision
4530,4532.0,Command & Conquer 3: Tiberium Wars,X360,2007-01-01,Strategy,Electronic Arts,0.35,0.05,0.0,0.03,0.43,xbox,Electronic Arts
4531,4533.0,WipEout 64,N64,1998-01-01,Racing,Midway Games,0.28,0.14,0.0,0.01,0.43,nintendo_console,other
4532,4534.0,Mischief Makers,N64,1997-01-01,Platform,Nintendo,0.25,0.06,0.07,0.06,0.43,nintendo_console,Nintendo
4533,4535.0,Max Payne 3,PC,2012-01-01,Shooter,Take-Two Interactive,0.15,0.22,0.0,0.06,0.43,,other
4534,4536.0,Petz Bunnyz,DS,2008-01-01,Simulation,Ubisoft,0.39,0.01,0.0,0.03,0.43,nintendo_handheld,Ubisoft
4535,4537.0,Castlevania: Portrait of Ruin,DS,2006-01-01,Platform,Konami Digital Entertainment,0.33,0.03,0.04,0.03,0.43,nintendo_handheld,Konami Digital Entertainment
4536,4538.0,NHL Slapshot,Wii,,Sports,Unknown,0.4,0.0,0.0,0.02,0.43,nintendo_console,other
4537,4539.0,EyeToy: AntiGrav,PS2,2004-01-01,Sports,Sony Computer Entertainment,0.36,0.01,0.0,0.06,0.43,playstation,Sony Computer Entertainment
4538,4540.0,FIFA 14,Wii,2013-01-01,Sports,Electronic Arts,0.0,0.38,0.0,0.05,0.43,nintendo_console,Electronic Arts
4539,4541.0,EverQuest Online Adventures,PS2,2003-01-01,Role-Playing,Sony Online Entertainment,0.21,0.16,0.0,0.05,0.43,playstation,other
4540,4542.0,Cool Boarders,PS,1996-01-01,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43,playstation,Sony Computer Entertainment
4541,4543.0,"999: Nine Hours, Nine Persons, Nine Doors",DS,2009-01-01,Adventure,ChunSoft,0.37,0.0,0.03,0.03,0.43,nintendo_handheld,other
4542,4544.0,Mobile Suit Gundam: Zeonic Front,PS2,2001-01-01,Simulation,Namco Bandai Games,0.09,0.07,0.25,0.02,0.43,playstation,Namco Bandai Games
4543,4545.0,Zone of the Enders HD Collection,PS3,2012-01-01,Simulation,Konami Digital Entertainment,0.21,0.08,0.09,0.05,0.43,playstation,Konami Digital Entertainment
4544,4546.0,Def Jam Icon,PS3,2007-01-01,Action,Electronic Arts,0.16,0.19,0.0,0.08,0.43,playstation,Electronic Arts
4545,4547.0,Tales of the World: Radiant Mythology,PSP,2006-01-01,Role-Playing,Ubisoft,0.17,0.01,0.23,0.02,0.43,playstation,Ubisoft
4546,4548.0,Monopoly,PS2,2008-01-01,Misc,Electronic Arts,0.21,0.16,0.0,0.05,0.43,playstation,Electronic Arts
4547,4549.0,Dawn of Mana,PS2,2006-01-01,Role-Playing,Square Enix,0.07,0.05,0.29,0.02,0.43,playstation,other
4548,4550.0,Microsoft Flight Simulator X,PC,2006-01-01,Simulation,Microsoft Game Studios,0.02,0.34,0.0,0.07,0.43,,other
4549,4551.0,Lego Batman 3: Beyond Gotham,XOne,2014-01-01,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0.0,0.04,0.43,xbox,other
4550,4552.0,Madden NFL 2003,GC,2002-01-01,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.43,nintendo_console,Electronic Arts
4551,4553.0,NASCAR Kart Racing,Wii,2009-01-01,Racing,Electronic Arts,0.39,0.0,0.0,0.03,0.43,nintendo_console,Electronic Arts
4552,4554.0,Disney Sing It,X360,2008-01-01,Misc,Disney Interactive Studios,0.39,0.01,0.0,0.03,0.43,xbox,other
4553,4555.0,Backyard Baseball,GBA,2002-01-01,Sports,Atari,0.31,0.11,0.0,0.01,0.43,nintendo_handheld,other
4554,4556.0,Call of Duty: Black Ops II,WiiU,2012-01-01,Shooter,Activision,0.21,0.18,0.0,0.03,0.43,nintendo_handheld,Activision
4555,4557.0,TRON: Evolution,PS3,2010-01-01,Action,Disney Interactive Studios,0.27,0.1,0.0,0.05,0.43,playstation,other
4556,4558.0,Midway Arcade Treasures,XB,2003-01-01,Misc,Midway Games,0.33,0.08,0.0,0.01,0.43,xbox,other
4557,4559.0,Call of Duty: Modern Warfare: Mobilized,DS,2009-01-01,Shooter,Activision,0.37,0.02,0.0,0.03,0.43,nintendo_handheld,Activision
4558,4560.0,Petz: Horsez 2,Wii,2007-01-01,Simulation,Ubisoft,0.39,0.0,0.0,0.03,0.43,nintendo_console,Ubisoft
4559,4561.0,The Smurfs,DS,2011-01-01,Action,Ubisoft,0.24,0.14,0.0,0.04,0.43,nintendo_handheld,Ubisoft
4560,4562.0,Bakugan: Battle Brawlers,PS2,2009-01-01,Action,Activision,0.21,0.16,0.0,0.05,0.43,playstation,Activision
4561,4563.0,NHL FaceOff 99,PS,1997-01-01,Sports,989 Studios,0.24,0.16,0.0,0.03,0.43,playstation,other
4562,4564.0,Skylanders: Trap Team,PS4,2014-01-01,Action,Activision,0.18,0.17,0.0,0.07,0.43,playstation,Activision
4563,4565.0,SEGA Classics Collection,PS2,2005-01-01,Misc,Sega,0.21,0.16,0.0,0.05,0.43,playstation,Sega
4564,4566.0,Pirates of the Caribbean: At World's End,PSP,2007-01-01,Action,Disney Interactive Studios,0.15,0.17,0.0,0.1,0.43,playstation,other
4565,4567.0,Juiced: Eliminator,PSP,2006-01-01,Racing,THQ,0.11,0.2,0.0,0.12,0.43,playstation,THQ
4566,4568.0,Naruto: Ninja Council 3,DS,2006-01-01,Action,D3Publisher,0.39,0.0,0.0,0.03,0.42,nintendo_handheld,other
4567,4569.0,Neon Genesis Evangelion 2nd Impression,SAT,1997-01-01,Role-Playing,Sega,0.0,0.0,0.42,0.0,0.42,sega,Sega
4568,4570.0,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,2011-01-01,Strategy,Banpresto,0.0,0.0,0.42,0.0,0.42,playstation,other
4569,4571.0,NBA Street,GC,2002-01-01,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.42,nintendo_console,Electronic Arts
4570,4572.0,Ben 10 Alien Force: Vilgax Attacks,DS,2009-01-01,Action,D3Publisher,0.22,0.16,0.0,0.04,0.42,nintendo_handheld,other
4571,4573.0,Ben 10 Alien Force: Vilgax Attacks,PSP,2009-01-01,Action,D3Publisher,0.13,0.19,0.0,0.11,0.42,playstation,other
4572,4574.0,Valkyrie Profile: Covenant of the Plume,DS,2008-01-01,Role-Playing,Square Enix,0.23,0.02,0.16,0.02,0.42,nintendo_handheld,other
4573,4575.0,The Legend of Spyro: The Eternal Night,PS2,2007-01-01,Platform,Vivendi Games,0.21,0.16,0.0,0.05,0.42,playstation,other
4574,4576.0,Mega Man Battle Network,GBA,2001-01-01,Role-Playing,Capcom,0.14,0.05,0.22,0.01,0.42,nintendo_handheld,other
4575,4577.0,LEGO Rock Band,PS3,2009-01-01,Misc,Warner Bros. Interactive Entertainment,0.24,0.13,0.0,0.06,0.42,playstation,other
4576,4578.0,25 to Life,PS2,2006-01-01,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,playstation,other
4577,4579.0,NHL 2K6,PS2,2005-01-01,Sports,Take-Two Interactive,0.21,0.16,0.0,0.05,0.42,playstation,other
4578,4580.0,Medal of Honor: Rising Sun,GC,2003-01-01,Shooter,Electronic Arts,0.33,0.09,0.0,0.01,0.42,nintendo_console,Electronic Arts
4579,4581.0,The Sims,XB,2003-01-01,Simulation,Electronic Arts,0.31,0.1,0.0,0.01,0.42,xbox,Electronic Arts
4580,4582.0,Guitar Hero: Smash Hits,X360,2009-01-01,Misc,Activision,0.23,0.15,0.0,0.04,0.42,xbox,Activision
4581,4583.0,Dog's Life,PS2,2003-01-01,Adventure,Sony Computer Entertainment,0.21,0.16,0.0,0.05,0.42,playstation,Sony Computer Entertainment
4582,4584.0,The X Files,PS,1999-01-01,Adventure,Sony Computer Entertainment,0.24,0.16,0.0,0.03,0.42,playstation,Sony Computer Entertainment
4583,4585.0,Super Wagyan Land,SNES,1991-01-01,Action,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,nintendo_console,Namco Bandai Games
4584,4586.0,Rascal,PS,1998-01-01,Action,Psygnosis,0.24,0.16,0.0,0.03,0.42,playstation,other
4585,4587.0,Hometown Story,3DS,2013-01-01,Role-Playing,Rising Star Games,0.22,0.13,0.04,0.04,0.42,nintendo_handheld,other
4586,4588.0,Tony Hawk's American Wasteland,GC,2005-01-01,Sports,Activision,0.33,0.08,0.0,0.01,0.42,nintendo_console,Activision
4587,4589.0,Top Spin 4,X360,2011-01-01,Sports,Take-Two Interactive,0.15,0.23,0.0,0.04,0.42,xbox,other
4588,4590.0,Famicom Mini: Super Mario Bros. 2,GBA,2004-01-01,Platform,Nintendo,0.0,0.0,0.41,0.01,0.42,nintendo_handheld,Nintendo
4589,4591.0,Crash: Mind Over Mutant,DS,2008-01-01,Platform,Vivendi Games,0.39,0.0,0.0,0.03,0.42,nintendo_handheld,other
4590,4592.0,Medal of Honor Heroes 2,Wii,2007-01-01,Shooter,Electronic Arts,0.34,0.04,0.01,0.04,0.42,nintendo_console,Electronic Arts
4591,4593.0,Yu-Gi-Oh! GX: Tag Force 2,PSP,2007-01-01,Strategy,Konami Digital Entertainment,0.03,0.2,0.1,0.11,0.42,playstation,Konami Digital Entertainment
4592,4594.0,Colony Wars,PS,1997-01-01,Simulation,Psygnosis,0.24,0.16,0.0,0.03,0.42,playstation,other
4593,4595.0,All-Star Baseball 2004,PS2,2003-01-01,Sports,Acclaim Entertainment,0.21,0.16,0.0,0.05,0.42,playstation,other
4594,4596.0,Big Strike Bowling,PS,2003-01-01,Sports,Gotham Games,0.23,0.16,0.0,0.03,0.42,playstation,other
4595,4597.0,Ragnarok Odyssey,PSV,2012-01-01,Role-Playing,GungHo,0.22,0.01,0.16,0.03,0.42,playstation,other
4596,4598.0,Harry Potter and the Deathly Hallows - Part 1,DS,2010-01-01,Action,Electronic Arts,0.2,0.19,0.0,0.04,0.42,nintendo_handheld,Electronic Arts
4597,4599.0,Horsez,DS,2006-01-01,Simulation,Ubisoft,0.38,0.01,0.0,0.03,0.42,nintendo_handheld,Ubisoft
4598,4600.0,SpongeBob's Truth or Square (US sales),DS,2009-01-01,Action,THQ,0.42,0.0,0.0,0.0,0.42,nintendo_handheld,THQ
4599,4601.0,NASCAR Thunder 2002,PS,2001-01-01,Racing,Electronic Arts,0.23,0.16,0.0,0.03,0.42,playstation,Electronic Arts
4600,4602.0,Grandia,SAT,1997-01-01,Role-Playing,ESP,0.0,0.0,0.42,0.0,0.42,sega,other
4601,4603.0,ESPN NHL 2K5,XB,2004-01-01,Sports,Global Star,0.32,0.09,0.0,0.02,0.42,xbox,other
4602,4604.0,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,GBA,2005-01-01,Misc,Konami Digital Entertainment,0.3,0.11,0.0,0.01,0.42,nintendo_handheld,Konami Digital Entertainment
4603,4605.0,Hot Wheels World Race,PS2,2003-01-01,Racing,THQ,0.21,0.16,0.0,0.05,0.42,playstation,THQ
4604,4606.0,Avatar: The Last Airbender - The Burning Earth,PS2,2007-01-01,Action,THQ,0.21,0.16,0.0,0.05,0.42,playstation,THQ
4605,4607.0,Superman: Shadow of Apokolips,PS2,2002-01-01,Action,Atari,0.21,0.16,0.0,0.05,0.42,playstation,other
4606,4608.0,NiGHTS: Journey of Dreams,Wii,2007-01-01,Platform,Sega,0.33,0.03,0.04,0.03,0.42,nintendo_console,Sega
4607,4609.0,American Chopper,PS2,2004-01-01,Racing,Zoo Digital Publishing,0.35,0.01,0.0,0.06,0.42,playstation,other
4608,4610.0,Vanquish,X360,2010-01-01,Shooter,Sega,0.19,0.17,0.03,0.04,0.42,xbox,Sega
4609,4611.0,Star Wars Trilogy: Apprentice of the Force,GBA,2004-01-01,Action,Ubisoft,0.3,0.11,0.0,0.01,0.42,nintendo_handheld,Ubisoft
4610,4612.0,Marvel Super Hero Squad,DS,2009-01-01,Fighting,THQ,0.37,0.02,0.0,0.03,0.42,nintendo_handheld,THQ
4611,4613.0,Lemony Snicket's A Series of Unfortunate Events,GBA,2004-01-01,Platform,Activision,0.3,0.11,0.0,0.01,0.42,nintendo_handheld,Activision
4612,4614.0,JGTC: All-Japan Grand Touring Car Championship,PS,1998-01-01,Racing,TYO,0.23,0.16,0.0,0.03,0.42,playstation,other
4613,4615.0,NBA Live 06,PSP,2005-01-01,Sports,Electronic Arts,0.39,0.0,0.0,0.03,0.42,playstation,Electronic Arts
4614,4616.0,Arc the Lad III,PS,1999-01-01,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.39,0.03,0.42,playstation,Sony Computer Entertainment
4615,4617.0,Solitaire Overload,DS,2007-01-01,Misc,Telegames,0.39,0.0,0.0,0.03,0.42,nintendo_handheld,other
4616,4618.0,Mobile Suit Gundam: Gundam vs. Gundam,PSP,2008-01-01,Fighting,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,playstation,Namco Bandai Games
4617,4619.0,Test Drive,XB,2002-01-01,Racing,Atari,0.35,0.05,0.0,0.02,0.42,xbox,other
4618,4620.0,Jikkyou Powerful Pro Yakyuu 11,PS2,2004-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.42,0.0,0.42,playstation,Konami Digital Entertainment
4619,4621.0,Ghost Trick: Phantom Detective,DS,2010-01-01,Adventure,Capcom,0.2,0.08,0.12,0.03,0.42,nintendo_handheld,other
4620,4622.0,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,PS2,2003-01-01,Action,THQ,0.21,0.16,0.0,0.05,0.42,playstation,THQ
4621,4623.0,Rush 2: Extreme Racing USA,N64,1998-01-01,Racing,Midway Games,0.35,0.06,0.0,0.0,0.42,nintendo_console,other
4622,4624.0,NFL Blitz 2001,N64,2000-01-01,Sports,Midway Games,0.34,0.07,0.0,0.0,0.42,nintendo_console,other
4623,4625.0,Dr. Mario 64,N64,2001-01-01,Puzzle,Nintendo,0.34,0.07,0.0,0.0,0.42,nintendo_console,Nintendo
4624,4626.0,Jikkyou Powerful Pro Yakyuu 6,N64,1999-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.42,nintendo_console,Konami Digital Entertainment
4625,4627.0,Army Men: Sarge's Heroes 2,N64,2000-01-01,Shooter,3DO,0.34,0.07,0.0,0.0,0.42,nintendo_console,other
4626,4628.0,James Bond 007: Everything or Nothing,GC,2004-01-01,Shooter,Electronic Arts,0.32,0.08,0.0,0.01,0.42,nintendo_console,Electronic Arts
4627,4629.0,Green Day: Rock Band,PS3,2010-01-01,Misc,MTV Games,0.19,0.16,0.0,0.07,0.42,playstation,other
4628,4630.0,Wolfenstein: The Old Blood,PS4,2015-01-01,Action,Bethesda Softworks,0.09,0.25,0.02,0.06,0.42,playstation,other
4629,4631.0,MLB 08: The Show,PS2,2008-01-01,Sports,Sony Computer Entertainment,0.35,0.01,0.0,0.06,0.42,playstation,Sony Computer Entertainment
4630,4632.0,Disney Infinity 2.0: Marvel Super Heroes,XOne,2014-01-01,Action,Disney Interactive Studios,0.24,0.15,0.0,0.03,0.42,xbox,other
4631,4633.0,Dance Dance Revolution Ultramix 2,XB,2004-01-01,Simulation,Konami Digital Entertainment,0.32,0.09,0.0,0.02,0.42,xbox,Konami Digital Entertainment
4632,4634.0,Mega Man Anniversary Collection,GC,2004-01-01,Platform,Capcom,0.32,0.08,0.0,0.01,0.42,nintendo_console,other
4633,4635.0,Blazing Angels: Squadrons of WWII,X360,2006-01-01,Simulation,Ubisoft,0.36,0.03,0.0,0.03,0.42,xbox,Ubisoft
4634,4636.0,Super Famista 4,SNES,1995-01-01,Sports,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,nintendo_console,Namco Bandai Games
4635,4637.0,The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,2004-01-01,Misc,,0.3,0.11,0.0,0.01,0.42,nintendo_handheld,other
4636,4638.0,Cabela's Legendary Adventures,PS2,2008-01-01,Sports,Activision,0.21,0.16,0.0,0.05,0.42,playstation,Activision
4637,4639.0,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,2010-01-01,Misc,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,nintendo_handheld,Namco Bandai Games
4638,4640.0,Harry Potter and the Goblet of Fire,GC,2005-01-01,Action,Electronic Arts,0.32,0.08,0.0,0.01,0.42,nintendo_console,Electronic Arts
4639,4641.0,JumpStart: Escape from Adventure Island,Wii,2009-01-01,Adventure,Knowledge Adventure,0.39,0.0,0.0,0.03,0.42,nintendo_console,other
4640,4642.0,Thrillville: Off the Rails,PS2,2007-01-01,Strategy,LucasArts,0.2,0.16,0.0,0.05,0.42,playstation,other
4641,4643.0,Style Lab: Makeover,DS,2009-01-01,Simulation,Ubisoft,0.35,0.03,0.0,0.03,0.42,nintendo_handheld,Ubisoft
4642,4644.0,Condemned: Criminal Origins,X360,2005-01-01,Action,Sega,0.36,0.03,0.0,0.03,0.42,xbox,Sega
4643,4645.0,Mega Man X6,PS,2001-01-01,Action,Capcom,0.14,0.1,0.16,0.03,0.42,playstation,other
4644,4646.0,Monster Jam: Urban Assault,Wii,2008-01-01,Racing,Activision,0.39,0.0,0.0,0.03,0.42,nintendo_console,Activision
4645,4647.0,BloodRayne,PS2,2002-01-01,Shooter,Universal Interactive,0.2,0.16,0.0,0.05,0.42,playstation,other
4646,4648.0,Kumamon Bomber: Puzzle de Kumamon Taisou,GC,2005-01-01,Puzzle,Sega,0.32,0.08,0.0,0.01,0.42,nintendo_console,Sega
4647,4649.0,Castlevania: Curse of Darkness,PS2,2005-01-01,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42,playstation,Konami Digital Entertainment
4648,4650.0,Tom Clancy's HAWX 2,PS3,2010-01-01,Action,Ubisoft,0.21,0.12,0.03,0.05,0.42,playstation,Ubisoft
4649,4651.0,Harvest Moon: Grand Bazaar,DS,2008-01-01,Simulation,Rising Star Games,0.22,0.05,0.13,0.02,0.42,nintendo_handheld,other
4650,4652.0,International Superstar Soccer Pro '98,PS,1998-01-01,Sports,Konami Digital Entertainment,0.02,0.02,0.35,0.03,0.42,playstation,Konami Digital Entertainment
4651,4653.0,Jimmy Neutron: Boy Genius,GBA,2001-01-01,Platform,THQ,0.3,0.11,0.0,0.01,0.42,nintendo_handheld,THQ
4652,4654.0,Black,XB,2006-01-01,Shooter,Electronic Arts,0.31,0.09,0.0,0.01,0.42,xbox,Electronic Arts
4653,4655.0,Zack & Wiki: Quest for Barbaros' Treasure,Wii,2007-01-01,Adventure,Nintendo,0.18,0.17,0.03,0.04,0.42,nintendo_console,Nintendo
4654,4656.0,Double Pack: Finding Nemo / The Incredibles,XB,2006-01-01,Action,THQ,0.31,0.09,0.0,0.01,0.42,xbox,THQ
4655,4657.0,Star Wars The Clone Wars: Republic Heroes,PSP,2009-01-01,Action,LucasArts,0.21,0.13,0.0,0.08,0.42,playstation,other
4656,4658.0,NBA 2K11,PSP,2010-01-01,Action,Take-Two Interactive,0.39,0.0,0.0,0.03,0.42,playstation,other
4657,4659.0,Animal Crossing: Amiibo Festival,WiiU,2015-01-01,Misc,Nintendo,0.19,0.11,0.09,0.03,0.42,nintendo_handheld,Nintendo
4658,4660.0,Hyrule Warriors,3DS,2016-01-01,Action,Nintendo,0.16,0.12,0.11,0.03,0.42,nintendo_handheld,Nintendo
4659,4661.0,Harry Potter and the Deathly Hallows - Part 1,PS3,2010-01-01,Action,Electronic Arts,0.13,0.21,0.0,0.08,0.42,playstation,Electronic Arts
4660,4662.0,Fishing Resort,Wii,2011-01-01,Sports,Namco Bandai Games,0.16,0.0,0.25,0.01,0.42,nintendo_console,Namco Bandai Games
4661,4663.0,WWE All Stars,PS3,2011-01-01,Fighting,THQ,0.16,0.18,0.0,0.07,0.42,playstation,THQ
4662,4664.0,Lord of the Rings: The Third Age,XB,2004-01-01,Role-Playing,Electronic Arts,0.31,0.09,0.0,0.01,0.42,xbox,Electronic Arts
4663,4665.0,Football Manager Handheld 2011,PSP,2010-01-01,Sports,Sega,0.0,0.28,0.0,0.14,0.42,playstation,Sega
4664,4666.0,Pirates of the Caribbean: At World's End,PS2,2007-01-01,Action,Disney Interactive Studios,0.2,0.16,0.0,0.05,0.42,playstation,other
4665,4667.0,Mega Man Legends 2,PS,2000-01-01,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42,playstation,other
4666,4668.0,X-Men vs. Street Fighter,PS,1997-01-01,Fighting,Capcom,0.16,0.11,0.12,0.03,0.42,playstation,other
4667,4669.0,High Rollers Casino,PS2,2004-01-01,Misc,Mud Duck Productions,0.2,0.16,0.0,0.05,0.42,playstation,other
4668,4670.0,Castlevania: The Dracula X Chronicles,PSP,2007-01-01,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07,0.42,playstation,Konami Digital Entertainment
4669,4671.0,The Suffering,PS2,2004-01-01,Action,Midway Games,0.2,0.16,0.0,0.05,0.42,playstation,other
4670,4672.0,Cyber Troopers Virtual-On,SAT,1995-01-01,Fighting,Sega,0.0,0.0,0.42,0.0,0.42,sega,Sega
4671,4673.0,Katamari Forever,PS3,2009-01-01,Puzzle,Namco Bandai Games,0.26,0.05,0.06,0.04,0.42,playstation,Namco Bandai Games
